image_path,connector_name,true_label,predicted_label,score,correct
/Users/md101ta/Project Work/Data/connectors/conn1/20251106110559_TOP.png,conn1,OK,OK,2.2912020683288574,True
/Users/md101ta/Project Work/Data/connectors/conn2/20251106110559_TOP.png,conn2,OK,OK,2.6718742847442627,True
/Users/md101ta/Project Work/Data/connectors/conn3/20251106110559_TOP.png,conn3,OK,OK,1.8336459398269653,True
/Users/md101ta/Project Work/Data/connectors/conn4/20251106110559_TOP.png,conn4,OCCLUSION,OCCLUSION,0.0,True
/Users/md101ta/Project Work/Data/connectors/conn5/20251106110559_TOP.png,conn5,OK,OK,2.9064316749572754,True
/Users/md101ta/Project Work/Data/connectors/conn6/20251106110559_TOP.png,conn6,OCCLUSION,OCCLUSION,0.0,True
/Users/md101ta/Project Work/Data/connectors/conn7/20251106110559_TOP.png,conn7,OK,OK,2.7269339561462402,True
/Users/md101ta/Project Work/Data/connectors/conn8/20251106110559_TOP.png,conn8,OK,OK,1.9454036951065063,True
/Users/md101ta/Project Work/Data/connectors/conn9/20251106110559_TOP.png,conn9,OK,OK,2.0439257621765137,True
/Users/md101ta/Project Work/Data/connectors/conn1/20251106110633_TOP.png,conn1,OK,OK,2.0818188190460205,True
/Users/md101ta/Project Work/Data/connectors/conn2/20251106110633_TOP.png,conn2,OK,OK,3.1551856994628906,True
/Users/md101ta/Project Work/Data/connectors/conn3/20251106110633_TOP.png,conn3,OK,OK,2.942486524581909,True
/Users/md101ta/Project Work/Data/connectors/conn4/20251106110633_TOP.png,conn4,OK,OK,3.0899782180786133,True
/Users/md101ta/Project Work/Data/connectors/conn5/20251106110633_TOP.png,conn5,OK,OK,2.7672228813171387,True
/Users/md101ta/Project Work/Data/connectors/conn6/20251106110633_TOP.png,conn6,OK,OK,1.8565386533737183,True
/Users/md101ta/Project Work/Data/connectors/conn7/20251106110633_TOP.png,conn7,OK,OK,2.4748268127441406,True
/Users/md101ta/Project Work/Data/connectors/conn8/20251106110633_TOP.png,conn8,OK,OK,2.618712902069092,True
/Users/md101ta/Project Work/Data/connectors/conn9/20251106110633_TOP.png,conn9,OCCLUSION,OCCLUSION,0.0,True
/Users/md101ta/Project Work/Data/connectors/conn1/20251106110712_TOP.png,conn1,OK,OK,2.0652644634246826,True
/Users/md101ta/Project Work/Data/connectors/conn2/20251106110712_TOP.png,conn2,OK,OK,3.1390857696533203,True
/Users/md101ta/Project Work/Data/connectors/conn3/20251106110712_TOP.png,conn3,OK,OK,1.3763055801391602,True
/Users/md101ta/Project Work/Data/connectors/conn4/20251106110712_TOP.png,conn4,OCCLUSION,OCCLUSION,0.0,True
/Users/md101ta/Project Work/Data/connectors/conn5/20251106110712_TOP.png,conn5,OK,OK,2.2178969383239746,True
/Users/md101ta/Project Work/Data/connectors/conn6/20251106110712_TOP.png,conn6,OK,OK,2.956822633743286,True
/Users/md101ta/Project Work/Data/connectors/conn7/20251106110712_TOP.png,conn7,OK,OK,2.574540615081787,True
/Users/md101ta/Project Work/Data/connectors/conn8/20251106110712_TOP.png,conn8,OK,OK,1.9194339513778687,True
/Users/md101ta/Project Work/Data/connectors/conn9/20251106110712_TOP.png,conn9,OK,OK,2.357468366622925,True
/Users/md101ta/Project Work/Data/connectors/conn1/20251106110746_TOP.png,conn1,OK,OK,1.8283833265304565,True
/Users/md101ta/Project Work/Data/connectors/conn2/20251106110746_TOP.png,conn2,OK,OK,2.448578357696533,True
/Users/md101ta/Project Work/Data/connectors/conn3/20251106110746_TOP.png,conn3,OK,OK,2.7787017822265625,True
/Users/md101ta/Project Work/Data/connectors/conn4/20251106110746_TOP.png,conn4,OCCLUSION,OCCLUSION,0.0,True
/Users/md101ta/Project Work/Data/connectors/conn5/20251106110746_TOP.png,conn5,OCCLUSION,OCCLUSION,0.0,True
